"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"50",500,20,0.125,3778.62095362123,188.931047681061,0.9181
"51",500,21,0.119047619047619,4156.47257013441,197.927265244496,0.9209
"52",500,22,0.113636363636364,3665.32245353031,166.605566069559,0.9328
"53",500,23,0.108695652173913,3685.10718567363,160.222051551027,0.9398
"54",500,24,0.104166666666667,4202.38450624129,175.099354426721,0.9525
"55",500,25,0.1,4268.01113035715,170.720445214286,0.9457
"56",500,26,0.0961538461538462,3391.88549872793,130.457134566459,0.9527
"57",500,27,0.0925925925925926,4274.94281290455,158.331215292761,0.9591
"58",500,28,0.0892857142857143,3359.02254887171,119.965091031132,0.9558
"59",500,29,0.0862068965517241,3926.9530819311,135.412175239003,0.959
"60",500,30,0.0833333333333333,4330.20273576632,144.340091192211,0.9641
"61",500,1,2.5,0,0,0
"62",500,2,1.25,0,0,0
"63",500,3,0.833333333333333,0,0,0
"64",500,4,0.625,0,0,0
"65",500,5,0.5,23.7421505639328,4.74843011278656,0.0433
"66",500,6,0.416666666666667,136.758880552699,22.7931467587832,0.1827
"67",500,7,0.357142857142857,769.698009333677,109.95685847624,0.3669
"68",500,8,0.3125,1341.08328066961,167.635410083701,0.5045
"69",500,9,0.277777777777778,1740.51151216401,193.390168018224,0.5916
"70",500,10,0.25,1891.46769612952,189.146769612952,0.6731
"71",500,11,0.227272727272727,2570.83154804682,233.711958913348,0.7251
"72",500,12,0.208333333333333,2557.42018747625,213.118348956354,0.7699
"73",500,13,0.192307692307692,3126.03314754287,240.464088272528,0.8048
"74",500,14,0.178571428571429,3276.07606871211,234.005433479436,0.8362
"75",500,15,0.166666666666667,3120.36320931046,208.024213954031,0.8603
"76",500,16,0.15625,3439.20931575528,214.950582234705,0.8748
"77",500,17,0.147058823529412,3405.31455470812,200.312620865184,0.8866
"78",500,18,0.138888888888889,3597.12459320656,199.840255178142,0.9035
"79",500,19,0.131578947368421,4004.27788123865,210.751467433613,0.9058
"80",500,20,0.125,3949.31038167385,197.465519083693,0.9184
"81",500,21,0.119047619047619,3961.34084420893,188.635278295663,0.9282
"82",500,22,0.113636363636364,3727.1936172647,169.41789169385,0.938
"83",500,23,0.108695652173913,3942.0562214924,171.393748760539,0.9351
"84",500,24,0.104166666666667,4154.4033276904,173.100138653766,0.9463
"85",500,25,0.1,3983.48236089467,159.339294435787,0.9499
"86",500,26,0.0961538461538462,2720.64391865504,104.640150717501,0.9527
"87",500,27,0.0925925925925926,4059.12538096634,150.337977072827,0.9558
"88",500,28,0.0892857142857143,3700.45102542828,132.158965193867,0.961
"89",500,29,0.0862068965517241,4105.65359337538,141.57426184053,0.96
"90",500,30,0.0833333333333333,4039.67282035824,134.655760678608,0.9661
"91",500,1,2.5,0,0,0
"92",500,2,1.25,0,0,0
"93",500,3,0.833333333333333,0,0,0
"94",500,4,0.625,1.32995494973962,0.332488737434905,8e-04
"95",500,5,0.5,19.6657721647845,3.93315443295689,0.0283
"96",500,6,0.416666666666667,195.436806089829,32.5728010149714,0.1943
"97",500,7,0.357142857142857,514.339600163047,73.4770857375781,0.3661
"98",500,8,0.3125,1422.16276637414,177.770345796768,0.51
"99",500,9,0.277777777777778,1829.45804915231,203.273116572479,0.604
