"","Dimension","lambda","ESS","ESS.sec","AR"
"51",4,NA,596.868432767818,1045.09714786327,0.1985
"52",4,NA,510.08888016593,870.544958529163,0.1569
"53",4,NA,439.232878014119,763.141175353711,0.1377
"54",4,NA,433.373721557722,805.717516255271,0.1088
"55",4,NA,342.26407254884,594.937652685165,0.0929
"56",4,NA,313.120734134577,560.886960076905,0.0729
"57",4,NA,298.689130887348,571.484296610272,0.064
"58",4,NA,189.745395169706,361.166656732049,0.0533
"59",4,NA,214.944802188838,411.385465908391,0.0458
"60",4,NA,178.470679154081,333.368196544776,0.0418
"61",4,NA,1.87349330693009,3.47142479105633,0.9995
"62",4,NA,38.0304225202821,72.4601443916177,0.8852
"63",4,NA,165.663018428366,307.159859057042,0.7749
"64",4,NA,298.487291852757,574.130921284377,0.6665
"65",4,NA,383.164324217515,743.178731863547,0.5618
"66",4,NA,553.244150766005,1041.98342082161,0.4694
"67",4,NA,581.666226982252,1033.36198706291,0.3928
"68",4,NA,625.322638476856,1183.13529127092,0.3264
"69",4,NA,571.394256242941,1113.90296441229,0.2755
"70",4,NA,569.316495352647,1077.0494359987,0.2192
"71",4,NA,612.850951134477,1154.3923764009,0.1903
"72",4,NA,504.350991639942,965.27071123046,0.1465
"73",4,NA,465.742978758923,909.426694981318,0.137
"74",4,NA,414.22524971193,785.225419266666,0.1056
"75",4,NA,382.464227880142,736.402900151209,0.0937
"76",4,NA,302.337076717509,591.33938753539,0.0779
"77",4,NA,265.989392439178,508.80752104192,0.067
"78",4,NA,232.544983831337,452.346456001607,0.06
"79",4,NA,204.259553081002,382.51148705402,0.0457
"80",4,NA,156.553086810552,302.099430529568,0.0365
"81",4,NA,2.31405794921456,3.97275538295204,0.999
"82",4,NA,55.3796081702127,103.746797343857,0.889
"83",4,NA,150.257989240339,286.129886593988,0.7687
"84",4,NA,312.021311469587,596.103402627774,0.6562
"85",4,NA,431.144039328391,818.450118910887,0.5593
"86",4,NA,539.481178612841,1009.46453404012,0.4694
"87",4,NA,531.792688648004,975.675351073407,0.3963
"88",4,NA,628.488597044117,1210.44954686829,0.3267
"89",4,NA,647.420518998098,1202.48517307678,0.2765
"90",4,NA,592.437305170059,1135.72931067416,0.2206
"91",4,NA,521.106425259878,986.437765581083,0.1885
"92",4,NA,554.419187766563,1084.68481108344,0.1624
"93",4,NA,533.027031623923,1025.75983517953,0.1362
"94",4,NA,396.867541295552,735.258403557907,0.1111
"95",4,NA,374.277341784375,649.859438145249,0.0977
"96",4,NA,276.783261514346,521.797410101273,0.0756
"97",4,NA,220.360148563426,434.461358075146,0.0592
"98",4,NA,227.742481819236,423.347036465604,0.0572
"99",4,NA,156.534223705461,299.240050146513,0.0464
"100",4,NA,170.265580156526,325.947727508869,0.0419
"101",4,NA,1.55016997150547,2.92385086033676,0.9985
"102",4,NA,40.0993136700616,76.840076353458,0.8814
"103",4,NA,138.288962903513,258.840202449526,0.7686
"104",4,NA,306.439157796495,577.178672843872,0.6613
"105",4,NA,451.717938546295,843.558430015725,0.5633
"106",4,NA,533.410175876408,1044.72431531586,0.4743
"107",4,NA,593.445163726693,1119.84695404902,0.3945
"108",4,NA,579.484800845005,1010.38615191422,0.3246
"109",4,NA,657.14649587685,1154.52725028578,0.2753
"110",4,NA,580.016617080368,1103.25121586379,0.232
"111",4,NA,601.866615449993,1101.20853753264,0.1848
"112",4,NA,560.739482189724,1059.99320042342,0.1525
