"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"72",50,12,0.208333333333333,4185.31072421768,348.775893684807,0.93
"73",50,13,0.192307692307692,4358.65332851608,335.281025270467,0.9376
"74",50,14,0.178571428571429,4378.33313932429,312.738081380307,0.9459
"75",50,15,0.166666666666667,4267.1869717202,284.479131448013,0.953
"76",50,16,0.15625,4732.26971345491,295.766857090932,0.9586
"77",50,17,0.147058823529412,4748.22003381233,279.30706081249,0.9644
"78",50,18,0.138888888888889,4949.73457758442,274.985254310246,0.9699
"79",50,19,0.131578947368421,4698.80205231235,247.305371174334,0.9719
"80",50,20,0.125,4738.63758856653,236.931879428326,0.9766
"81",100,1,2.5,0,0,0
"82",100,2,1.25,0,0,0
"83",100,3,0.833333333333333,0,0,0
"84",100,4,0.625,116.337189652949,29.0842974132373,0.0777
"85",100,5,0.5,754.985869560598,150.99717391212,0.3183
"86",100,6,0.416666666666667,1382.35471734336,230.392452890559,0.5478
"87",100,7,0.357142857142857,2466.16883221698,352.309833173855,0.6925
"88",100,8,0.3125,2746.56381570262,343.320476962827,0.7604
"89",100,9,0.277777777777778,3367.92786853905,374.21420761545,0.8183
"90",100,10,0.25,3438.55293040587,343.855293040587,0.8609
"91",100,11,0.227272727272727,4037.59212398836,367.053829453487,0.8803
"92",100,12,0.208333333333333,3821.64447048336,318.47037254028,0.8974
"93",100,13,0.192307692307692,4332.55014480001,333.273088061539,0.9173
"94",100,14,0.178571428571429,4278.53323655052,305.609516896466,0.9251
"95",100,15,0.166666666666667,4227.77168211896,281.851445474597,0.9328
"96",100,16,0.15625,4499.88513954817,281.242821221761,0.9416
"97",100,17,0.147058823529412,4480.06248079121,263.533087105365,0.9517
"98",100,18,0.138888888888889,4495.92466180745,249.773592322636,0.9537
"99",100,19,0.131578947368421,4634.27972614616,243.90945927085,0.9559
"100",100,20,0.125,4853.58874993211,242.679437496606,0.9625
"101",2,1,2.5,67.5877999638949,67.5877999638949,0.0307
"102",2,2,1.25,794.449602715646,397.224801357823,0.2228
"103",2,3,0.833333333333333,3323.58542546732,1107.86180848911,0.7016
"104",2,4,0.625,4271.83982970665,1067.95995742666,0.8466
"105",2,5,0.5,5406.6108869298,1081.32217738596,0.9128
"106",2,6,0.416666666666667,5125.12148478177,854.186914130295,0.9436
"107",2,7,0.357142857142857,5486.00791603662,783.715416576661,0.9627
"108",2,8,0.3125,5609.3700435974,701.171255449675,0.9708
